OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice
REC-829185,8153,Pringles Original,Pringles,Unknown,Italia,2024-10-18,13.16
REC-212346,13782,Crunchy oats&honey,Nature Valley,42 g,"Bélgica,Francia,Alemania,Irlanda,Países Bajos,España,Suiza,Reino Unido,en:Bélgica",2024-05-25,4.18
REC-416664,6670,Figue & son,Gerblé,210 g,"Belgique,France,Polynésie française,Martinique,Maroc,La Réunion,Suisse",2024-11-22,17.46
REC-205333,10008,Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli",50g,"Australia,Austria,Belgium,Bulgaria,France,Germany,Italy,Lebanon,Morocco,Romania,Spain,Switzerland,Thailand,United Kingdom",2024-11-27,2.2
REC-503724,7289,Nestlé Dessert,Nestlé,205g,"Belgium,France,Germany,Réunion,Switzerland",2024-10-21,13.16
REC-407282,13001,Petit beurre,Bé,Unknown,Morocco,2024-09-08,9.34
REC-499346,14145,Pains au lait x10,Pasquier,350 g,"Belgique,France,Suisse,Royaume-Uni,États-Unis",2024-04-08,22.82
REC-668408,14519,Chocolat au lait,Milka,100 g,"Algeria,Austria,Bulgaria,France,Germany,Hungary,Italy,Morocco,Poland,Tunisia,United Kingdom",2024-11-01,6.24
REC-400480,14530,Brioche Tranchée Bio 400g,Generic,400 g,France,2024-11-13,3.2
REC-936049,8846,King cookies choco,Excelo,Unknown,en:ma,2025-05-12,16.03
REC-574329,11736,BIO Basmati Reis Vollkorn,"Pueblo Lindo, Nur Nur Natur",Unknown,"Austria, France, Germany, Italy, Switzerland, United Kingdom, United States, en:ireland",2024-05-26,7.62
REC-837122,14656,Lidl Organic Dark Chocolate,LIDL,100 gram,"Belgique,Bulgarie,France,Allemagne,Italie,Portugal,Serbie,Espagne",2024-07-10,13.16
REC-955005,10000,Mix di frutta secca,Alesto,200 g,"France,Allemagne,Hongrie,Italie,Pays-Bas,Portugal,Suisse",2025-05-19,19.89
REC-538001,13364,Excellence Noir Subtil Doux 70% Cacao,"Lindt Excellence,Lindt",100 g,"Australia,Austria,Dinamarca,Francia,Alemania,Marruecos,Nueva Zelanda,España,Suiza",2024-07-21,20.27
REC-900195,13320,La gâche tranchée,Generic,500 g,"France,Germany,Switzerland",2025-08-04,11.15
REC-570097,7969,Sour Cream & Onion,Pringles,165 g,"Algieria,Bułgaria,Chorwacja,Egipt,Węgry,Irak,Liban,Libia,Litwa,Maroko,Polska,Rumunia,Tunezja,Ukraina",2024-10-16,20.45
REC-180568,5233,Chocolat Noir 92% cacao,Dark Excellente,100 g,Morocco,2025-11-02,8.29
REC-630706,8436,Granola L'Original,"LU, Mondelez International",200 g e,"Belgique,France,Martinique,Maroc,La Réunion,Suisse,États-Unis",2025-11-20,13.16
REC-326111,12644,Cracotte Céréales Complètes,"lu, LU",250,"Belgium, France, Luxembourg, Réunion, Switzerland, en:netherlands",2024-05-06,23.01
REC-574635,6128,Kinder Bueno,Kinder,Unknown,"Australia,Bélgica,Estonia,Francia,Grecia,Hungría,Irlanda,Italia,Letonia,Libia,Lituania,Marruecos,Nueva Zelanda,Polonia,Portugal,Rumania,España,Suiza,Reino Unido",2025-05-30,8.04
REC-218223,7913,Dark Chocolate,Tesco finest,100g,United Kingdom,2025-07-05,24.8
REC-895633,6608,Chips,Kettle,Unknown,United Kingdom,2024-06-20,9.93
REC-754969,6085,Pringles Sare,Pringles,165 g,"Armenia,Bielorrusia,Bélgica,Bosnia y Herzegovina,Bulgaria,Croacia,Francia,Hungría,Kuwait,Letonia,Líbano,Lituania,Marruecos,Polonia,Rumania,Rusia,Serbia,Suiza,Ucrania",2024-07-27,2.7
REC-528239,12090,wasa,"Barilla,Wasa",270 g,"France,Guadeloupe,Italy,Switzerland",2025-04-10,18.39
REC-540990,14397,Henry's Sable Coco Biscuit 85G,Henrys,85 g,Maroc,2025-08-06,12.49
REC-956271,13610,Cracotte,LU,7.35 gram,"België,Frankrijk,Luxemburg,Nederland,Zwitserland",2025-01-24,24.0
REC-440963,6157,Biscuit raisins,Generic,270 g,"France,Suisse",2024-06-09,16.66
REC-116337,12524,Nutri+ avoine chocolat,Bjorg,130 g,France,2024-03-15,1.47
REC-653437,12486,Goût chocolat,BN,285 g,"Belgium,France,Morocco,Switzerland",2025-09-04,4.06
REC-786266,10600,digestives,McVitie's,360g,"France,Germany,Ireland,United Kingdom",2025-04-03,15.58
REC-650994,6007,Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,500 g,France,2025-11-06,13.16
REC-981280,12427,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,160 g (4x40 g),"Belgium,France",2026-02-01,3.37
REC-295140,11156,Tartines craquantes quinoa - pois chiche sans gluten,Jardin Bio,Unknown,France,2025-03-28,24.72
REC-845441,11715,LIGHTLY SALTED LOW FAT CORN CAKES,kallo,Unknown,"France, United Kingdom",2025-11-15,11.73
REC-649864,10711,Figolu,LUMondelez,192 g (12 x 16 g),"France,Guadeloupe",2025-03-11,2.41
REC-745146,9008,Krit krititas galletas saladas,"Cuétara, Krit",350g,"Israel,Marruecos,España,Portugal",2024-08-27,1.04
REC-595340,5792,Sour Cream & Onion,Pringles,Unknown,"France,Germany,Italy,Martinique,Mauritius,Portugal,Réunion,Thailand",2024-02-13,4.9
REC-980028,11685,Crunchy avoine et miel,Nature ValleyGeneral Mills,"210 g, 5 barres doubles de 42 g",France,2025-04-29,8.94
REC-918887,11878,Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",230 g,"Belgium,France,Guadeloupe,Martinique,Morocco,Réunion,Senegal,Switzerland",2024-12-24,13.16
REC-854220,9266,Toffifee,Süßigkeiten,125g,Germany,2024-09-28,13.2
REC-321774,13910,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley",210 g,France,2025-07-22,20.71
REC-770550,12930,Cookie🍪 cacao pépites Sans Sucre,Generic,130 g,"Belgique,France,Polynésie française",2025-09-29,22.48
REC-570975,13801,Dark milk chocolate,Tesco,100g,en:united-kingdom,2025-12-27,24.54
REC-347253,13159,petit déjeuner miel et pépites de chocolat,belvita,435 g,"Belgium,Bulgaria,France,Germany,Morocco,Poland,Romania,Switzerland,United Kingdom",2025-03-15,7.58
REC-433923,8141,Biscuit soja orange,Gerblé,Unknown,"France,Guadeloupe,Martinique,Réunion",2024-12-17,5.38
REC-374982,7072,Sablés Anglais L'Original,"McVitie's,United Biscuits",400 g,"France,Réunion,Switzerland,United Kingdom",2024-11-30,19.09
REC-833121,6028,Excellence Noir Corsé 78% Cacao,Lindt,100 g,"Australia,Czech Republic,France,Germany,Ireland,Italy,Netherlands,New Zealand,Spain,Switzerland",2025-04-28,23.01
REC-484365,9681,Картофельные чипсы со вкусом парики,"Pringles,Kellogg's",165g,"Bulgaria,Francia,Lituania,Marruecos,Países Bajos,Polonia,Rumania,España,Ucrania",2024-02-07,2.12
REC-204232,8249,Brioche moins de sucre,Harrys,485 g,France,2025-04-30,8.89
REC-942651,12158,Chocolat monogram,Macao,Unknown,en:ma,2025-07-25,3.33
REC-818095,14040,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,kallo,122 g,United Kingdom,2025-02-09,7.77
REC-553814,14094,Pringles Original,"Kellogg's, Pringles",165g,"Belgium, France, Germany, Italy, Spain, United Kingdom, en:austria",2025-07-04,3.36
REC-996953,5970,Fourrés Chocolat au Lait,Bjorg,225 g,"France,Japon,Suisse",2024-07-18,11.61
REC-767742,12401,Pringles,Generic,40g,"Bélgica,Francia,Alemania,Marruecos,Rumania,España,Suiza,Reino Unido",2024-02-25,22.67
REC-498811,7623,Digestive Avena Choco,Generic,425 g,"Portugal,España",2024-02-23,13.16
REC-946193,10839,180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",180 g,"Algérie,France,Guadeloupe,Maroc,Tunisie",2025-02-17,9.67
REC-662711,12233,Raffaello,Ferrero,150 g,"Bulgaria,Francia,Hungría,Portugal,Rumania,España",2025-07-15,13.16
REC-991303,7760,Barres de fruits secs & noix Myrtilles,nakd.,140 g,"Bélgica,República Checa,Francia,Países Bajos,España,Suiza",2024-09-05,3.46
REC-562005,6118,Tagger,Bimo,22g,en:Morocco,2024-08-08,3.95
REC-802740,13691,Goûter 4S Saveur pommes,Gerblé,360 g,"France,Luxembourg,Réunion,Switzerland",2024-03-11,10.68
REC-723751,14512,Wheat Biscuits,Tesco,n.48 - 912g,en:United Kingdom,2025-11-29,8.66
REC-379767,11844,Protein Cocoa Hazelnut Bars,"Nakd,Natural Balance Foods",135 g,"Bélgica,Francia,España,Reino Unido",2024-10-12,1.55
REC-994160,11794,Thé - Biscuits,Lu,350 g ℮,"France,New Caledonia,Réunion,Switzerland",2025-04-07,2.33
REC-607612,8211,Petites Madeleines,St Michel,500 g,"en:france, en:martinique, en:La Réunion, en:Switzerland",2025-06-25,7.44
REC-331169,9169,Goûter pépites de chocolat,Generic,"3 sachets de 4 biscuits, 250g","Belgium,France,French Polynesia,Réunion,Switzerland",2025-09-28,1.01
REC-130025,8900,Sea salt & cider vinegar chips,Generic,150 g,"France, Germany, Switzerland, United Kingdom, en:netherlands",2024-10-10,17.32
REC-219484,5608,Príncipe crema de chocolate,"LU,Mondelēz",300 g 15.5,"Francia,Marruecos,España",2025-03-21,14.49
REC-480927,14848,Kinder bueno White,Kinder,39 g,"Belgique,Bulgarie,France,Allemagne,Hongrie,Italie,Maroc,Pologne,Roumanie,Serbie,Espagne,Suisse,Thaïlande,Royaume-Uni",2025-09-21,19.57
REC-699692,14144,Sea Salt Lentil Chips,Proper Chips,Unknown,United Kingdom,2025-05-25,23.12
REC-392540,6866,Napolitain l'Original,"LU, Mondelez, Mondelez International",180 g (6 x 30 g),France,2025-11-10,24.73
REC-958052,13313,Petits fours financiers,Generic,500 g,"France, en:morocco",2025-09-29,12.77
REC-151159,12792,Biscuits pavot citron,Gerblé,200 g,"France,Réunion,Switzerland",2025-10-20,11.76
REC-287331,14177,The Original Crunchy Rye Breads,Ryvita,250 g,"United Kingdom, en:ireland",2026-01-18,17.49
REC-904456,7274,Pringles Original,Generic,165g,"Bélgica,Dinamarca,Francia,Alemania,Grecia,Irlanda,Italia,Marruecos,Países Bajos,Nigeria,Rumania,España,Reino Unido",2025-09-15,4.56
REC-561658,8242,Blueberry Muffin Myrtilles,nakd,4 x 35g,"France,Germany,Ireland,Morocco,Poland,United Kingdom",2024-05-16,5.74
REC-884876,8901,merendina big,bimo,52g,en:Morocco,2025-05-21,8.14
REC-221353,9692,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,440 g,"Belgium,France,French Polynesia,Réunion,Switzerland",2024-04-04,21.53
REC-279860,11879,Véritable Petit Écolier Chocolat au Lait,Generic,150 g (12x 12.5 g) e,"Algeria,Belgium,Canada,France,Morocco,Switzerland",2025-11-09,11.82
REC-996817,10003,Galletas fibra zero azúcares,Gullón,170 g,"Portugal,España",2024-09-27,13.03
REC-407433,13728,Belvita Petit Déjeuner Chocolat,"LU,Mondelez",Unknown,"en:belgium, en:france, en:guadeloupe, en:luxembourg, en:Belgique, en:La-reunion, en:Switzerland",2025-01-16,2.77
REC-160782,9873,Caramelised popcorn seasoned with sea salt,Proper,28 gram,"Belgium, France, United Kingdom, en:netherlands",2024-08-02,4.7
REC-221530,8033,Edelbitter Mild 90%,Generic,125g,"Belgium,France,Germany,Morocco,Netherlands,Switzerland",2025-08-23,2.26
REC-183716,12748,Véritable Petit Beurre Pocket,lu,300 g,"Belgium,France,Guadeloupe,Lebanon,Réunion,Switzerland",2025-11-15,11.48
REC-878584,11980,Chips de lentilles saveur fines herbes,Generic,85 g,France,2025-07-31,1.81
REC-777037,13194,Chocolat noir Equateur Bio,J.D. Gross,100 g,France,2024-09-16,7.37
REC-762689,9488,Biscuit complet au germe de blé,Gerblé,210 g,"France,Guadeloupe,Maroc,La Réunion,Suisse",2024-05-10,3.33
REC-789279,9528,Milka galette choco,"LU, Milka",260 g,"France, Germany, Morocco, Spain, en:belgium",2025-05-23,12.59
REC-188975,5634,Multigrain Crispbread,RYVITA,250 g,"France, United Kingdom, en:ireland",2025-10-15,23.74
REC-476256,8438,Tartines craquantes sarrasin,Céréal Bio,145 g,France,2025-03-16,12.31
REC-337130,14724,Excellence Noir à la Pointe de Fleur de Sel,Lindt,100 g (10 carrés),"France,Suisse",2025-01-07,13.22
REC-415413,5434,NAKD Cacahuètes - 140g (4x1p),"Nakd.,Natural Balance Foods",140 g,"en:belgium, en:france, en:luxembourg, en:spain, fr:Francia",2025-04-14,12.23
REC-599217,6506,Cream Crackers,Generic,300 g,"France,Suisse,Royaume-Uni",2026-01-10,14.86
REC-563059,5998,Pistaches de Californie,"Alesto, Lidl",Unknown,"Bélgica,República Checa,França,Alemanha,Marrocos,Portugal,Espanha",2024-12-13,13.4
REC-294785,13490,Organic Crisp Bread,DR KARG'S,Unknown,"France,Allemagne,Royaume-Uni",2024-05-02,6.38
REC-693740,12990,Brioche Tranchée Recette Classique,Harrys,485 g,France,2024-03-09,21.83
REC-760615,11250,Véritable Petit Beurre,Lu,Unknown,"France,Suisse",2026-01-20,15.12
REC-195486,11785,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g",Generic,150 g ℮,"Belgium,France",2025-02-24,6.11
REC-516677,9726,Cheese Oatcakes,nairn's,200 g,"France,United Kingdom",2024-10-28,11.21
REC-146982,12015,Dark Chocolate,Fin Carré,100g,"Finland,France,Germany,Italy,Latvia,Switzerland,United Kingdom,United States,Czech Republic",2026-01-29,17.47
REC-239925,12675,Wholegrain Wheat Bixies,Crownfield - Lidl,720g - 36,"Ireland, Malta",2025-01-18,9.7
REC-109693,9652,Granola LU,LU,184g,France,2024-10-18,1.26
REC-441235,14293,Cuites au four nature,Lay’s,130 g,"Belgium,France,Réunion",2024-09-08,13.16
REC-176522,5950,Sour Cream & Onion chips,Pringles,185g,"France, Germany, Spain, Switzerland, United Kingdom, en:austria",2025-09-29,11.05
REC-145901,9071,Belvita Brut & 5 céréales complètes,Lu,400 gram,"Belgique,France,Luxembourg,Nouvelle-Calédonie,Suisse",2024-07-18,24.59
REC-360302,11499,Chocolate negro 95% cacao,J. D. Gross,125 g,"Francuska,Njemačka,Španjolska,Hrvatska,Slovenija,Grčka,Cipar",2026-01-08,2.66
REC-633933,10355,Goûter aux raisins,Gerblé,360 g,"Belgique,France,La Réunion,Suisse",2024-03-28,8.33
REC-187987,6562,Pringles sour cream & onion,"Pringles,Kellogg's",40g,"Austria,Bélgica,Francia,Alemania,Marruecos,Países Bajos,España,Suiza,Reino Unido",2024-10-22,23.61
REC-307690,13557,Granola L'original Gros éclats de chocolat,"Granola,LU,Mondelez",276 g,"France,Suisse",2025-01-16,5.67
REC-921480,8300,Milk Chocolate with Honey and Almond Nougat,Toblerone,100g,"Argelia,Australia,Bélgica,Bolivia,Bulgaria,Dinamarca,Finlandia,Francia,Alemania,Italia,Marruecos,Noruega,Polonia,Rumania,España,Suecia,Suiza,Tailandia,Ucrania,Reino Unido",2024-04-06,22.51
REC-715337,14087,Organic Milk Chocolate,Green & Black's,90 g,"United Kingdom, en:ireland",2024-06-17,22.67
REC-195153,7641,Noir Extra,Poulain,100 g,"France,Maroc",2026-01-26,23.04
REC-550594,9230,Le cookie Chocolat Noisette,Bjorg,200 g,Frankreich,2024-06-03,17.62
REC-598496,6586,Tonik,Bimo,121 g,"France,Maroc,en:morocco,",2025-01-07,21.63
REC-469768,8105,Tartines céréales 450g,La Boulangère,450 g,France,2026-01-05,13.16
REC-825324,7206,Spofy,henry's,50g,"France,Maroc",2024-11-20,16.28
REC-734212,9909,Digestive Avena,Hacendado,Unknown,"Portugal,España",2025-08-31,8.32
REC-967946,8890,Galettes St Michel au beurre 4X5 - 130g,St michel,130 g,"Belgien, Frankreich, Guadeloupe, Italien, Martinique, Marokko, Schweiz, Germany",2024-05-13,10.36
REC-561526,12868,Petit brun extra,"Brun,Mondelez",Unknown,France,2025-12-26,4.41
REC-306391,8081,"BN - Casse Croute Biscuits, 375g",BN,400 g,France,2024-10-01,1.85
REC-518782,13160,Goûter aux écorces confites,Gerblé,360 g,Francia,2025-11-15,5.87
REC-994456,14348,Шоколад с 6% парченца малини,J.D. GROSS,125 g,"Bulgarie,France,Italie,Portugal,Espagne,Suisse,Royaume-Uni",2024-11-27,13.16
REC-245946,5600,Milka Tablette Noisette,"Milka, Mondelez",100g,"Algeria, Austria, Czech Republic, France, Germany, Morocco, Switzerland, en:slovakia",2025-07-28,18.95
REC-986860,14640,Sablé saveur COCO,Gerblé,132 g,"Belgique,France,Thaïlande",2025-03-16,13.36
REC-253786,8062,Moelleux chocolat,"Belvita, LU, Mondelez International",250 g,"Belgique,France,Maroc,La Réunion,Suisse",2024-04-25,16.82
REC-940169,14012,Capri choco,Generic,45g,en:ma,2025-02-27,13.16
REC-908189,12873,Ferrero Rocher,Ferrero,375 g,"Algérie,France,Allemagne,Irlande,Maroc",2024-12-23,24.19
REC-722929,11952,NOIR DEGUSTATION 70% CARAMEL,J. D. Gross,125 g,"France,Germany,Italy,Spain,United Kingdom",2024-08-01,1.32
REC-215654,9846,Excellence Noir Délicat Doux 85% Cacao,Lindt EXCELLENCE,100g,"Austria,Czech Republic,France,Germany,Morocco",2024-05-21,20.25
REC-107243,11322,La Madeleine Pur beurre,Bonne Maman,300 g (12 sachets individuels),"France,Suisse",2025-05-21,16.68
REC-662848,7254,Blueberry Muffin raw fruit & nut bar,nākd,35 g,United Kingdom,2024-08-31,20.63
REC-184393,14014,OREO ORIGINAL,OREO,154 g,"Austria,Belgium,Finland,France,Germany,Greece,Italy,Netherlands,Norway,Sweden,Switzerland",2024-10-15,13.24
REC-317612,6203,Benco Original,Benco,400g,France,2024-12-05,1.14
REC-421289,10212,Pringles Sour Cream,"Pringles,Kellogg's",165g,"Bélgica,Alemania,Irlanda,Marruecos,Países Bajos,España,Reino Unido",2024-04-07,18.43
REC-525010,10985,Pelotazos futebolas,Cheetos,32g,"France,Morocco",2024-04-13,2.57
REC-425933,11633,Apple & Raisin Oat Bars,deliciously ella,3 x 50g,"France, en:united-kingdom",2024-02-21,13.16
REC-958697,8352,"Crunchy Oats and Dark chocolate, 2 Barres de 21 g",Generic,42 g,"Belgique,France,Allemagne,Irlande,Espagne,Royaume-Uni",2025-05-12,9.32
REC-137198,9309,Nutri+ avoine complet,Bjorg,130 g (3 x 4 biscuits),France,2024-06-27,13.16
REC-312331,6897,Peter's Yard Original Sourdough Crackers,Generic,Unknown,"France,United States,Ireland,United Kingdom",2026-01-25,20.18
REC-384172,10530,Cuetara Digesta Light 200G Marie Cookies,Generic,200g,"France,Maroc",2025-10-20,6.38
REC-394564,14380,Cacao,Lactel,39 g,"Belgique,Bulgarie,France,Allemagne,Hongrie,Italie,Mexique,Maroc,Portugal,Roumanie,Espagne,Suisse",2026-01-17,7.07
REC-483457,9297,Chip Choco Zero Sin Azúcares,Gullón,125 g,"Portugal,España",2025-04-29,13.16
REC-613302,12237,Gingembre saveur citron 🍋,Gerblé,132 g,"France,La Réunion",2025-11-22,24.85
REC-756048,10104,Kinder Country,"Kinder, Ferrero",211.5 g,"Autriche,France,Allemagne,Italie,Suisse",2024-08-18,19.95
REC-731114,7998,Sweet & Salty Popcorn,Proper Corn,14g,United Kingdom,2025-09-21,16.02
REC-881552,13965,Gocciole classiche pav 500 gr,Pavesi,500 g,"Belgium,France,Germany,Italy,Switzerland",2025-10-27,17.3
REC-687196,7075,Protein Caramel salé Cacahuètes,Nature Valley,"160 g ℮, 4 barres de 40 g",France,2025-08-17,17.22
REC-542590,8875,85% Cocoa - Dark Chocolate,Moser Roth,125 g,"United Kingdom,Ireland",2025-07-01,18.29
REC-447906,6547,Noir equitable 85% Pérou,Alter Eco,100 g e,"Belgium,France,Switzerland",2025-07-31,1.22
REC-187921,5654,Nutella,"Ferrero,Nutella",825g,"Deutschland,Marokko",2024-07-04,13.84
REC-272094,5174,Oatibix,Generic,24 biscuits,"France, Spain, United Kingdom, en:ireland",2024-07-02,13.15
REC-477529,14784,Kinder Cards,"Ferrero,Kinder",128 g,"Belgien,Bulgarien,Finnland,Frankreich,Deutschland,Ungarn,Italien,Luxemburg,Marokko,Rumänien,Spanien,Schweden,Schweiz",2025-12-17,10.3
REC-563532,9187,Petites Madeleines pépites chocolat,St Michel,400 g,"France,Suisse",2025-08-31,11.68
REC-172405,5318,8 Pains au lait frais Bio 280g,Generic,280 g,France,2025-02-20,21.26
REC-601917,6223,single origin milk chocolate,Marks & Spencer,100g,"France, Royaume-Uni",2025-01-06,21.81
REC-542762,6066,Petit Cookies Pépites de chocolat,Bonne Maman,250g,"Belgium, France, Luxembourg, Switzerland, en:united-kingdom",2024-07-17,5.73
REC-600233,8833,Petit écolier chocolat noir pur beurre de cacao,LU,150 g,"Canada,Frankrijk,Duitsland,Marokko,Réunion,Spanje,Zwitserland",2024-08-28,6.15
REC-120129,10797,Sweet & salty popcorn,Proper Corn,84g,United Kingdom,2024-05-06,3.61
REC-614314,11805,Cocoa Vanilla Oat Boosts,graze,4 x 30 g,"France,United Kingdom",2024-07-20,14.0
REC-151525,5140,Megachok,arluy,500g,"France,Morocco,New Caledonia",2024-05-28,18.21
REC-217744,7396,Cranberry saveur amande,Gerblé,132 g (4 × 3 biscuits),"Frankrijk,Réunion",2025-05-12,9.15
REC-737686,10860,"Biscuits 3 graines Kasha, Sésame, Pavot",Generic,"132 g, 4 sachets de 3 biscuits","France,La Réunion",2024-08-01,21.57
REC-310932,14834,Chocolat noir 85% Madagascar,Ethiquable,100 g,"France,Spain",2025-04-19,7.05
REC-343699,13161,Véritable petit beurre,"LU, Mondelez, Mondelez international",200 g e,"France,Guadeloupe,La Réunion,Suisse",2024-07-26,19.29
REC-499216,11117,TEXAS BBQ SAUCE,PRINGLES,Unknown,"Belgium,Bulgaria,Germany,Ireland,Morocco,Romania,United Kingdom,Libya",2024-03-02,3.96
REC-117524,5039,Extrem,Excelo,Unknown,en:Morocco,2025-10-18,23.56
REC-799646,10029,Sablés chocolat,McVitie's,300 g,France,2025-04-07,1.73
REC-452768,9793,NAKD PROTEIN - Cacao noisette - 45g (16x1p),Nakd,45 g,"France, United Kingdom, en:switzerland",2024-07-03,13.16
REC-734503,14206,Kinder Bueno,Kinder,43g,"Algérie,Belgique,Allemagne,Italie,Maroc,Espagne,Suisse,Tunisie,Royaume-Uni,États-Unis,France",2024-12-31,10.66
REC-426267,11642,Wheat Biscuits,By Sainsbury's,Unknown,en:gb,2024-04-21,23.04
REC-616790,14425,Shortbread Fingers,Walker’s,160g,United Kingdom,2025-09-16,1.6
REC-519560,7176,Chips saveur fromage du Jura,Brets,125 g,"France, en:morocco",2024-10-24,21.83
REC-876426,12754,Top cookies,Excelo,28 g,Morocco,2025-01-16,13.16
REC-255749,14155,cooky original chocolate chips,Be,Unknown,Morocco,2025-03-12,14.76
REC-335372,13315,Fine Milled Oatcakes,Nairn's,218 g,"Frankrijk,Verenigd Koninkrijk",2024-12-20,4.83
